"Source:","D:\cummins\Auxillary supply\DSP_board\DSP_board\DSP_board.kicad_sch"
"Date:","05-05-2023 06:20:35"
"Tool:","Eeschema (6.0.7)"
"Generator:","D:\installed\ki-cad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","137"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Datasheet_1","Description","Footprint_1","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Reference_1","Value_1"
"","","R1","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R2","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R3","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R4","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R5","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R6","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R7","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R8","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R9","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R10","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R11","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R12","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R13","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R14","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R15","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R16","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R17","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R18","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R19","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R20","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R21","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R22","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R23","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R24","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R25","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R26","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R27","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R28","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R29","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R30","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R31","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R32","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R33","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R34","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R35","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R36","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R37","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R38","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R39","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R40","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R41","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R42","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R43","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R44","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R45","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R46","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R47","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R48","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R49","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R50","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R51","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R52","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R53","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R54","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R55","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R56","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R57","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R58","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R59","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R60","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R61","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R62","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R63","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R64","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R65","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R66","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R67","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R68","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R69","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R70","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R71","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R72","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R73","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R74","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R75","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R76","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""
"","","R77","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Datasheet_1","Description","Footprint_1","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Reference_1","Value_1"
"1","1","B1","Arty-S7","Connector:Arty-S7","Connector_PinHeader_2.54mm:Arty-S7","","","","","","","","","","",""
"2","26","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30","CAP","pspice:CAP","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","","",""
"3","2","C16, C17","10u","pspice:CAP","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~","","","","","","","","","",""
"4","1","C18","2.2u","pspice:CAP","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~","","","","","","","","","",""
"5","1","C19","C","pspice:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"6","10","Cvdd_1, Cvdd_2, Cvdd_3, Cvdd_4, Cvdda_1, Cvdda_2, Cvddio_1, Cvddio_2, Cvddio_3, Cvddio_4","0.1u","pspice:CAP","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~","","","","","","","","","",""
"7","1","FB1","BKP1005HS221-T","BK100:BKP1005HS221-T","BKP100:BEADC1005X55N","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA6/557242.pdf","","TAIYO YUDEN - BKP1005HS221-T - FERRITE BEAD, 0.2OHM, 800mA, 0402","","0.55","TAIYO YUDEN","BKP1005HS221-T","963-BKP1005HS221-T","https://www.mouser.co.uk/ProductDetail/Taiyo-Yuden/BKP1005HS221-T?qs=I6KAKw0tg2wWE0jZr0VMMA%3D%3D","",""
"8","1","FB2","MPZ1005S600CT000","MPZ100:MPZ1005S600CT000","BKP100:BEADC1005X55N","https://product.tdk.com/system/files/dam/doc/product/emc/emc/beads/catalog/beads_commercial_power_mpz1005_en.pdf","","Chip Beads, |Z|=60? at 100MHz, L x W x T :","","0.55","TDK","MPZ1005S600CT000","810-MPZ1005S600CT000","https://www.mouser.co.uk/ProductDetail/TDK/MPZ1005S600CT000/?qs=8Kz9Wu9QwqU8N777vIftFA%3D%3D","",""
"9","1","IC1","SN74S1053NSR","diode_adc:SN74S1053NSR","sn74s:sn74","http://www.ti.com/lit/gpn/sn74s1053","","16-Bit Schottky Barrier Diode Bus-Termination Array","","2","Texas Instruments","SN74S1053NSR","595-SN74S1053NSR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74S1053NSR?qs=gb35HGp1gQKBVeOxZl0Yrw%3D%3D","",""
"10","1","IC5","F280025CPNQR","f280025C:F280025CPNQR","f280025c:f280025c","https://www.ti.com/lit/gpn/tms320f280025c-q1","","32-bit Microcontrollers - MCU Automotive C2000 32-bit MCU with 100 MHz, FPU, TMU, 128-KB flash, CLB 80-LQFP -40 to 125","","1.6","Texas Instruments","F280025CPNQR","595-F280025CPNQR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/F280025CPNQR?qs=81r%252BiQLm7BRa%252BagXYbOMBQ%3D%3D","",""
"11","4","IC_batt_1, IC_batt_2, IC_dc_link_leakage1, IC_grid23","LM324DR","quad_opamp:LM324DR","lm324:SOIC127P600X175-14N","http://componentsearchengine.com/Datasheets/3/LM324DR.pdf","","QUADRUPLE OPERATIONAL AMPLIFIERS","","1.75","Texas Instruments","LM324DR","595-LM324DR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM324DR?qs=KaAwwOlwaps1n%2FWkYDapEg%3D%3D","",""
